link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
14204,13886,14170,1,8192,14165,,,,,,,,,,,,,,,,,,,,,,,,,,
14205,13886,14170,1,8192,14167,,,,,,,,,,,,,,,,,,,,,,,,,,
14206,13886,14170,1,8192,14482,,,,,,,,,,,,,,,,,,,,,,,,,,
12966,14207,14267,2,32768,12947,,,,,,,,,,,,,,,,,,,,,,,,,,
12967,14207,14267,2,32768,12946,,,,,,,,,,,,,,,,,,,,,,,,,,
14275,14208,14268,2,32768,14267,,,,,,,,,,,,,,,,,,,,,,,,,,
12968,14209,14269,2,32768,12947,,,,,,,,,,,,,,,,,,,,,,,,,,
14278,14209,14269,2,32768,14267,,,,,,,,,,,,,,,,,,,,,,,,,,
13860,14279,14341,2,26240,13843,,,,,,,,,,,,,,,,,,,,,,,,,,
13861,14279,14341,2,26240,13842,,,,,,,,,,,,,,,,,,,,,,,,,,
14349,14280,14342,2,26240,14341,,,,,,,,,,,,,,,,,,,,,,,,,,
13859,14281,14343,2,26240,13843,,,,,,,,,,,,,,,,,,,,,,,,,,
14352,14281,14343,2,26240,14341,,,,,,,,,,,,,,,,,,,,,,,,,,
13867,14353,14415,2,26240,14342,,,,,,,,,,,,,,,,,,,,,,,,,,
13869,14353,14415,2,26240,14343,,,,,,,,,,,,,,,,,,,,,,,,,,
14423,14354,14416,2,26240,14415,,,,,,,,,,,,,,,,,,,,,,,,,,
13868,14355,14417,2,26240,14342,,,,,,,,,,,,,,,,,,,,,,,,,,
14426,14355,14417,2,26240,14415,,,,,,,,,,,,,,,,,,,,,,,,,,
14193,14427,14481,1,8192,14164,14167,,,,,,,,,,,,,,,,,,,,,,,,,
14194,14427,14481,1,8192,14164,,,,,,,,,,,,,,,,,,,,,,,,,,
14488,14428,14482,1,8192,14481,,,,,,,,,,,,,,,,,,,,,,,,,,
14489,14428,14482,1,8192,14481,,,,,,,,,,,,,,,,,,,,,,,,,,
14195,14429,14483,1,8192,14167,,,,,,,,,,,,,,,,,,,,,,,,,,
